Index,x,y,size,angle,response
185,646.9,488.712,5.4551,241.453,0.0163192
186,649.211,670.909,128.949,88.3897,0.0446773
187,649.211,670.909,128.949,127.971,0.0446773
188,649.98,460.098,8.368,153.794,0.0220732
189,650.697,526.941,5.62997,236.303,0.0680853
190,650.859,582.9,3.80302,110.2,0.0162094
191,651.339,440.595,11.2676,147.761,0.0385199
192,651.339,440.595,11.2676,338.904,0.0385199
193,651.641,544.822,4.9454,167.709,0.0251666
194,655.336,484.166,6.29346,181.657,0.0259567
195,655.336,484.166,6.29346,236.36,0.0259567
196,657.869,125.558,7.84227,202.913,0.0225457
197,660.436,101.11,7.73333,195.296,0.0271234
198,660.856,547.374,7.45798,3.27328,0.0702618
199,660.856,547.374,7.45798,153.155,0.0702618
200,661.549,1015.45,5.01221,271.432,0.0421592
201,661.781,148.466,5.78582,46.9614,0.0547672
202,661.781,148.466,5.78582,138.171,0.0547672
203,662.296,77.0456,11.5266,199.569,0.0133658
204,662.52,455.822,13.2827,16.2606,0.0515274
205,664.941,489.886,11.5564,85.2592,0.0645338
206,665.58,75.9498,9.41081,202.29,0.0141415
207,665.968,527.186,14.6927,278.66,0.0740757
208,666.14,1027.98,4.99894,62.7236,0.0400874
209,666.787,156.552,3.91266,119.34,0.0160445
210,666.851,526.275,12.8595,287.364,0.0748011
211,669.981,466.768,6.43186,17.3651,0.0390985
212,670.375,149.608,6.0542,2.1418,0.0675772
213,670.375,149.608,6.0542,137.414,0.0675772
214,670.849,539.521,8.37661,3.91502,0.060185
215,670.849,539.521,8.37661,126.996,0.060185
216,671.572,562.714,17.5891,271.928,0.0398887
217,671.754,157.574,3.06052,80.0825,0.0143043
218,671.887,121.154,15.8048,36.0174,0.0473125
219,672.171,737.487,7.4152,198.361,0.036548
220,672.171,737.487,7.4152,273.477,0.036548
221,672.171,737.487,7.4152,301.095,0.036548
222,672.671,589.545,6.46969,103.742,0.0301014
223,672.671,589.545,6.46969,167.561,0.0301014
224,673.258,70.6574,4.62037,210.174,0.0167943
225,673.51,481.632,7.98823,304.966,0.0433437
226,673.51,481.632,7.98823,338.036,0.0433437
227,674.711,748.334,19.2949,135.757,0.0700348
228,675.08,387.623,5.48253,202.717,0.0267733
229,677.005,109.943,6.21754,240.501,0.0334099
230,677.005,109.943,6.21754,358.527,0.0334099
231,680.155,57.7001,6.60168,221.572,0.0246757
232,680.71,581.913,12.0414,263.601,0.0584828
233,682.691,537.884,6.96187,137.98,0.0723168
234,682.691,537.884,6.96187,344.081,0.0723168
235,683.872,97.7717,11.2056,13.7063,0.0383707
236,683.872,97.7717,11.2056,242.589,0.0383707
237,685.718,95.3896,12.4312,21.3172,0.0384506
238,685.718,95.3896,12.4312,244.498,0.0384506
239,686.375,82.0517,7.8879,30.5101,0.0262508
240,686.897,387.448,10.4265,206.657,0.068623
241,686.897,387.448,10.4265,318.375,0.068623
242,687.239,462.244,24.7965,8.19263,0.0361032
243,687.528,399.933,6.43207,152.423,0.0606345
244,687.743,402.028,7.26403,149.665,0.0609439
245,687.824,755.5,8.08857,74.0121,0.0810352
246,687.824,755.5,8.08857,329.298,0.0810352
247,689.142,534.315,4.6098,341.426,0.0247075
248,690.007,500.638,7.69237,114.375,0.0806466
249,691.543,492.711,4.88839,304.266,0.0282487
250,691.607,587.43,8.10681,3.34625,0.044804
251,691.607,587.43,8.10681,42.2031,0.044804
252,692.133,733.657,7.90549,268.424,0.0555306
253,692.133,733.657,7.90549,358.924,0.0555306
254,694.974,573.795,7.34487,45.9291,0.0684763
255,694.974,573.795,7.34487,254.36,0.0684763
256,696.367,43.5561,5.35548,233,0.0225491
257,699.02,59.3204,4.08965,43.6967,0.0223161
258,703.732,91.6373,6.332,238.795,0.0260882
259,705.917,401.859,36.656,339.831,0.0332757
260,708.401,553.535,32.2085,209.983,0.0225072
261,713.057,448.21,7.68591,353.876,0.0727793
262,715.7,71.0195,18.8658,219.92,0.0324427
263,715.786,106.358,7.83513,66.8522,0.0585255
264,715.786,106.358,7.83513,175.892,0.0585255
265,719.605,691.308,37.5365,358.319,0.029607
