Index,x,y,size,angle,response
243,90.3297,374.842,4.10373,23.7501,0.0143696
244,90.3297,374.842,4.10373,318.102,0.0143696
245,90.4751,174.963,2.52783,6.15528,0.00206501
246,90.5561,320.37,1.84215,12.7295,0.00106917
247,90.6241,228.08,1.97285,162.701,0.000806989
248,90.6241,228.08,1.97285,235.464,0.000806989
249,90.9821,399.493,2.17939,297.003,0.0015839
250,90.9886,461.459,1.97446,1.56723,0.00112663
251,91.0107,249.501,2.23104,178.98,0.00234328
252,91.4346,202.571,8.39782,250.516,0.000749181
253,91.4781,255.083,2.62252,339.896,0.00223346
254,91.5623,69.8217,3.23875,76.1393,0.00339311
255,91.6407,394.803,4.06122,2.78717,0.00112159
256,91.9462,205.83,2.35596,144.131,0.00140829
257,91.9462,205.83,2.35596,355.467,0.00140829
258,92.1093,472.479,2.78172,294.635,0.00114685
259,92.3838,141.782,3.37567,244.032,0.00175417
260,92.4221,185.086,3.88431,271.211,0.00116143
261,92.5253,206.888,2.96573,160.74,0.00145196
262,93.0173,288.368,1.91892,359.635,0.000502094
263,93.0178,413.549,3.38376,199.739,0.00236727
264,93.2088,213.163,3.02885,236.49,0.00133718
265,93.715,166.445,7.03668,59.8732,0.00196544
266,93.9188,396.479,2.35506,29.6132,0.00117733
267,93.9188,396.479,2.35506,333.634,0.00117733
268,93.9768,246.41,1.98641,294.799,0.00125183
269,93.993,341.899,3.41931,322.151,0.00118163
270,94.1738,85.9374,1.92344,74.5269,0.00112706
271,94.3994,459.94,2.40179,35.3422,0.00197276
272,94.4028,155.518,3.39108,67.5446,0.00221497
273,94.4719,174.876,2.57014,177.844,0.00177603
274,94.7212,364.571,2.6726,39.3475,0.0157435
275,94.7356,135.948,2.33942,246.14,0.00216254
276,94.9474,402.242,2.07112,305.118,0.00133422
277,94.9474,402.242,2.07112,356.213,0.00133422
278,95.1655,191.31,4.40055,38.8964,0.00272123
279,95.1655,191.31,4.40055,270.228,0.00272123
280,95.1767,424.903,2.55332,23.9709,0.0021849
281,95.3102,112.609,2.59701,230.415,0.00111088
282,95.3102,112.609,2.59701,285.769,0.00111088
283,96.5021,243.558,2.22507,201.096,0.0017064
284,96.5021,243.558,2.22507,305.343,0.0017064
285,96.6173,229.692,2.88881,99.4869,0.00206702
286,96.7661,392.413,2.50998,177.364,0.00224702
287,96.935,241.55,5.93573,124.434,0.00167085
288,96.9532,68.4927,1.81774,79.3721,0.00275952
289,97.1547,132.367,2.28505,275.75,0.00192824
290,97.2869,93.1208,2.55991,79.3317,0.00211109
291,97.303,270.687,5.26305,130.855,0.00880774
292,97.3084,142.938,13.2283,260.67,0.0029064
293,97.5974,280.164,6.61187,129.579,0.00919884
294,97.9028,198.6,2.07184,32.0557,0.00203368
295,97.9557,225.503,1.81828,164.316,0.00154114
296,97.9557,225.503,1.81828,269.718,0.00154114
297,97.9969,254.92,3.16865,201.694,0.0025299
298,98.1182,173.71,2.57653,180.303,0.00265606
299,98.1406,149.679,2.03155,11.8162,0.00185455
300,98.159,88.1832,2.16304,78.2455,0.00278168
301,98.3192,79.3408,3.32752,78.9208,0.00303188
302,98.4729,182.649,2.3446,63.5003,0.00200792
303,98.6789,144.488,2.12,56.422,0.00156695
304,98.6789,144.488,2.12,359.06,0.00156695
305,98.7162,81.117,7.30935,79.3939,0.00326472
306,98.8931,81.1021,7.07135,79.4668,0.00327284
307,98.8943,163.788,1.83415,9.8547,0.002638
308,99.0267,113.051,1.83093,220.146,0.00232111
309,99.0267,113.051,1.83093,280.058,0.00232111
310,99.0267,113.051,1.83093,355.204,0.00232111
311,99.0526,68.1993,4.60068,78.1782,0.00291822
312,99.1117,397.95,2.076,184.148,0.00159589
313,99.1593,218.87,2.0439,181.042,0.00152838
314,99.3285,239.025,1.92995,122.057,0.00206408
315,99.4458,418.298,2.31263,47.056,0.0028772
316,99.5404,110.162,40.1036,17.5879,0.0344795
317,99.5685,295.121,3.911,55.8925,0.00109309
318,99.5704,221.787,1.93555,177.446,0.00169998
319,99.5704,221.787,1.93555,344.944,0.00169998
320,99.8728,123.586,1.83021,171.861,0.00225696
321,100.05,306.457,2.21232,216.03,0.000970158
322,100.065,262.632,3.47815,199.329,0.00201388
323,101.214,459.97,2.12751,280.748,0.0011232
324,101.286,102.878,2.77989,64.2428,0.00317352
325,101.436,421.487,2.01316,41.7251,0.00153775
326,101.49,192.944,3.03695,33.9912,0.00149275
327,101.704,179.211,2.53383,48.5625,0.00129025
328,101.704,179.211,2.53383,122.052,0.00129025
329,101.735,59.9761,2.1435,70.7901,0.00962216
330,101.882,116.879,2.56025,0.967407,0.00101355
331,101.899,234.832,3.12944,122.309,0.00209218
332,101.928,170.277,3.0493,328.565,0.00126588
333,102.026,159.869,2.45586,48.0515,0.00217545
334,102.125,90.4704,2.07746,71.7801,0.00325582
335,102.271,221.005,2.20722,347.131,0.00161374
336,102.28,309.167,2.6522,308.227,0.00109871
337,102.464,397.561,1.88316,143.465,0.0018505
338,102.849,73.7517,3.73449,76.7281,0.00254721
339,102.86,350.441,2.30966,223.882,0.00635848
340,103.102,267.845,3.79874,129.515,0.00193827
341,103.213,207.994,2.45078,8.37322,0.00240607
342,103.213,207.994,2.45078,234.117,0.00240607
343,103.268,322.11,5.91435,8.13473,0.00124729
344,103.268,322.11,5.91435,291.254,0.00124729
345,103.406,471.133,1.92993,107.516,0.000937442
346,103.406,471.133,1.92993,242.071,0.000937442
347,103.523,405.275,3.52,101.474,0.00166451
348,103.814,166.145,2.27863,340.748,0.00313263
349,103.82,97.5898,3.80958,79.6598,0.00412775
350,103.82,122.059,3.0867,359.397,0.00191634
351,104.02,106.807,2.1907,67.3173,0.00228432
352,104.057,449.05,2.10347,16.2696,0.00126256
353,104.192,467.103,4.10247,287.137,0.000813994
354,104.396,92.5945,2.12427,79.1887,0.0019941
355,104.473,161.443,1.94346,205.237,0.00178422
356,104.49,410.604,2.11078,338.042,0.0011518
357,104.645,85.6663,2.34962,78.508,0.00179108
358,104.933,190.589,2.02571,220.162,0.00291509
359,104.954,456.171,2.44616,312.681,0.00204611
360,104.982,177.102,1.89442,126.027,0.00175576
361,104.982,177.102,1.89442,348.253,0.00175576
